name,street,postcode_city,address
REWE Markt GmbH - E-Commerce National,Höninger Weg 185,50969 Köln,"Höninger Weg 185, 50969 Köln"
REWE Christian Werner oHG,Bonner Str. 350,50968 Köln,"Bonner Str. 350, 50968 Köln"
REWE Murat Aslim oHG,Waidmarkt 2-3,50676 Köln,"Waidmarkt 2-3, 50676 Köln"
REWE Richrath SM GmbH & Co. oHG,Schwertnergasse 1,50667 Köln,"Schwertnergasse 1, 50667 Köln"
REWE Oliver Frank GmbH & Co. oHG,Reiherstraße 31,50997 Köln,"Reiherstraße 31, 50997 Köln"
REWE Kelterbaum oHG,Rudolfplatz 9,50674 Köln,"Rudolfplatz 9, 50674 Köln"
S-Mart Lebensmittel Märkte GmbH & Co. KG,Hohenstaufenring 29-37,50674 Köln,"Hohenstaufenring 29-37, 50674 Köln"
REWE Hüseyin Bilkay oHG,Hohenzollernring 79-83,50672 Köln,"Hohenzollernring 79-83, 50672 Köln"
REWE Markt GmbH,Salierring 47-53,50677 Köln,"Salierring 47-53, 50677 Köln"
REWE Markt GmbH,Heidestr. 159-161,51147 Köln,"Heidestr. 159-161, 51147 Köln"
REWE Kelterbaum oHG,Rudolfplatz 9,50674 Köln,"Rudolfplatz 9, 50674 Köln"
S-Mart Lebensmittel Märkte GmbH & Co. KG,Hohenstaufenring 29-37,50674 Köln,"Hohenstaufenring 29-37, 50674 Köln"
REWE Hüseyin Bilkay oHG,Hohenzollernring 79-83,50672 Köln,"Hohenzollernring 79-83, 50672 Köln"
REWE Markt GmbH,Salierring 47-53,50677 Köln,"Salierring 47-53, 50677 Köln"
REWE Markt GmbH,Heidestr. 159-161,51147 Köln,"Heidestr. 159-161, 51147 Köln"
REWE Markt GmbH,Bergisch Gladbacher Str. 1007,51069 Köln,"Bergisch Gladbacher Str. 1007, 51069 Köln"
REWE Kazim Üzüm oHG,Neumarkt 35-37,50667 Köln,"Neumarkt 35-37, 50667 Köln"
REWE Richrath SM GmbH & Co. oHG,Friedrich-Karl-Str. 245,50735 Köln / Niehl,"Friedrich-Karl-Str. 245, 50735 Köln / Niehl"
REWE Alexander Zitlau oHG,Kalker Hauptstr. 55,51103 Köln / Kalk,"Kalker Hauptstr. 55, 51103 Köln / Kalk"
REWE Felix Brüggemann oHG,Nohlstr. 24-26,50733 Köln / Nippes,"Nohlstr. 24-26, 50733 Köln / Nippes"
REWE Markt Björn Rohe oHG,Bergisch Gladbacher Str. 667,51067 Köln / Holweide,"Bergisch Gladbacher Str. 667, 51067 Köln / Holweide"
S-Mart Lebensmittel Märkte GmbH & Co. KG,Merheimer Str. 432,50739 Köln / Mauenheim,"Merheimer Str. 432, 50739 Köln / Mauenheim"
REWE Markt Schulz oHG,Weisser Str. 124-126,50999 Köln / Rodenkirchen,"Weisser Str. 124-126, 50999 Köln / Rodenkirchen"
S-Mart Lebensmittel Märkte GmbH & Co. KG,Sülzgürtel 47,50937 Köln / Sülz,"Sülzgürtel 47, 50937 Köln / Sülz"
